HJD (-2400000),V [mag]
39568.400,8.31
39571.320,8.08
39571.420,8.09
39583.340,8.47
39585.350,8.22
39586.330,8.33
39591.260,8.43
39591.380,8.39
39602.350,8.16
39604.245,8.30
39626.260,8.11
39627.255,8.43
40922.598,8.23
40957.096,8.38
40958.102,8.19
40960.119,8.39
40980.430,8.20
40984.437,7.91
40988.429,8.26
40994.421,8.30
40995.381,8.03
40999.404,8.15
41001.424,8.44
41006.409,8.19
41023.381,8.20
41040.903,8.35
41042.084,8.18
41043.905,8.07
41044.913,8.26
41045.903,8.40
41046.886,7.95
41047.884,8.31
41048.093,8.36
41115.889,8.34
