HJD (-2443000),V [mag]
123.5447,8.159
155.4114,8.1
156.498,8.361
158.3748,8.245
158.5618,8.271
159.3202,8.129
159.5252,8.094
160.3029,8.15
160.5121,8.213
161.3044,8.438
161.5059,8.46
162.3031,7.989
162.515,7.933
163.3038,8.193
163.5088,8.264
164.4556,8.419
165.4591,8.088
166.4238,8.248
167.4166,8.158
168.3284,8.242
169.372,8.339
172.4706,8.295
173.4027,8.038
173.5572,8.094
174.4298,8.319
174.5773,8.329
176.2916,8.232
176.5038,8.292
177.5023,8.094
178.322,8.088
178.5116,8.145
181.2887,8.103
181.5617,8.195
182.2898,8.369
182.5242,8.386
183.3051,8.181
184.2968,8.248
184.5136,8.262
186.4733,8.408
188.3778,7.936
262.2815,8.255
269.2282,8.019
280.2663,8.211
288.2429,8.299
289.2289,8.293
291.2119,8.236
292.2193,8.04
297.2106,8.197
526.5421,8.196
528.3034,8.195
530.5194,8.015
532.5363,8.422
533.5224,7.956
534.3017,8.227
535.3252,8.373
536.2896,8.122
536.5462,8.132
538.2935,8.111
539.3011,8.267
