date [HJD]	AX Vel [ADU]	HD 68395 [ADU]	HD 68515 [ADU]	HD 68630 [ADU]	HD 68477 [ADU]
2459331.884	110103	129567	118058	81363	85713
2459331.884	112207	135157	118387	82307	84636
2459331.884	111723	135093	116315	81311	84723
2459331.884	113709	124070	114078	82386	85774
2459331.884	109981	132628	118918	81764	86540
2459331.884	110102	132935	117718	80983	85016
2459331.884	111892	132790	118882	80915	84861
2459331.885	112437	135800	119913	81650	85073
2459331.885	114562	124335	119017	80649	85997
2459331.885	111527	131397	117497	81273	84818
2459350.991	3389	1878	3665	3780	830
2459350.991	3231	1997	3597	4023	1593
2459350.991	3469	1971	3656	4059	1341
2459350.992	3591	2125	3660	4031	1430
2459350.992	2905	1815	3298	3559	1359
2459350.992	3637	1951	4111	4407	1718
2459350.992	3352	2329	3838	3636	1541
2459350.992	3701	1697	3736	3807	1026
2459350.992	3442	2247	3127	3844	873
2459350.993	3559	2270	3430	4101	1643
2459353.924	127984	122302	112710	78404	81544
2459353.924	131601	128453	113931	79758	81644
2459353.924	130306	128593	114614	79396	80312
2459353.924	142564	127438	111906	79720	80939
2459353.924	141244	127862	113791	78380	81471
2459353.925	131968	125567	111981	79220	80238
2459353.925	141479	126551	113622	79339	81057
2459353.925	134991	124391	112303	78069	81179
2459353.925	141569	129481	112516	76383	79932
2459353.925	140745	127434	111584	78062	80755
2459354.9	107657	124332	113861	81238	81675
2459354.9	107699	129283	115051	81098	81179
2459354.9	108403	120136	114034	80637	80699
2459354.901	103697	113214	114144	80442	81514
2459354.901	105422	126829	112469	78578	79620
2459354.901	105471	126379	110625	77871	80058
2459354.901	103727	120506	109578	76488	77720
2459354.902	101994	117743	110718	77066	77527
2459354.902	102809	118817	110588	77446	79025
2459354.902	103266	120095	111447	77560	79526
2459355.872	106250	131961	118561	83035	83868
2459355.872	107868	131782	117201	82743	83173
2459355.872	106724	130437	117003	81734	84570
2459355.872	106601	127537	112083	82375	84460
2459355.872	105504	126483	115121	83067	82859
2459355.872	105094	127112	108309	81258	83343
2459355.872	104009	128460	112684	81519	82980
2459355.873	106230	129878	114481	81382	83926
2459355.873	105100	132643	116311	82065	84320
2459355.873	104545	130059	116314	81996	83495
2459356.866	124237	133202	116481	81954	83108
2459356.866	123693	130867	114777	81677	83287
2459356.866	123559	131454	116488	83281	83068
2459356.867	120343	132541	112502	82367	83156
2459356.867	123965	132628	115710	81386	84188
2459356.867	119837	132101	118456	81825	83766
2459356.867	122547	131244	115092	83107	83613
2459356.867	118423	130729	118368	80424	82735
2459356.868	120480	132798	115549	81693	83628
2459356.868	120550	130369	117475	80937	82047
2459363.96	103399	116812	98823	70134	70734
2459363.963	103957	114250	100683	73980	74496
2459363.963	105399	114192	102522	71435	72491
2459363.963	104004	116830	103392	73137	73151
2459363.964	105044	119861	101142	72629	73082
2459363.964	105686	116179	104665	73901	72659
2459363.964	105191	115371	102376	72046	71802
2459363.964	103407	115680	104103	72880	73747
2459363.964	106920	115185	101948	70907	72689
2459363.965	105528	114101	102925	73113	73932
2459365.922	87031	101899	91890	64536	66566
2459365.922	85247	100290	86075	60405	61724
2459365.922	87335	100740	85128	60529	61191
2459365.922	79785	93649	83058	57632	59066
2459365.922	83979	100342	82803	60237	61453
2459365.922	84958	100591	89880	61816	64002
2459365.922	82128	95750	88755	60448	61577
2459365.923	77228	87228	75496	54585	53664
2459365.923	79216	92345	81992	56262	58447
2459365.923	78094	87795	75188	56099	53452
