HJD (-2443000),V [mag]
875.9785,8.0670
875.9839,8.0610
876.0110,8.0770
876.0229,8.0810
876.9783,8.4120
876.9902,8.3990
877.9772,8.1810
877.9867,8.1810
877.9941,8.1710
878.0006,8.1560
878.0069,8.1480
878.0125,8.1450
878.0227,8.1360
878.0374,8.1470
878.0462,8.1490
878.0532,8.1400
878.0591,8.1310
878.0661,8.1200
878.0717,8.1250
878.0776,8.1210
878.0832,8.1080
878.0895,8.1050
878.0947,8.1000
878.1008,8.0950
878.1072,8.0970
878.1133,8.0840
878.1368,8.8770
878.1424,8.0590
878.1482,8.0680
878.1540,8.0590
878.2174,8.0240
878.2228,8.0370
878.9662,8.1190
878.9738,8.1140
878.9808,8.1190
878.9863,8.1250
878.9963,8.1140
879.0026,8.1230
879.0090,8.1160
879.0145,8.1330
879.0204,8.1330
879.0261,8.1330
879.0393,8.1330
879.0455,8.1330
879.0509,8.1310
879.0561,8.1420
879.0613,8.1440
879.0662,8.1480
879.0715,8.1430
879.0764,8.1340
879.0814,8.1490
879.0865,8.1390
879.0922,8.1530
879.0977,8.1460
879.1031,8.1650
879.1084,8.1530
879.1140,8.1630
879.1221,8.1560
879.1281,8.1640
879.1337,8.1730
879.2002,8.1850
879.2068,8.1810
879.2125,8.1800
879.2180,8.1830
879.2239,8.2010
879.9669,8.3290
879.9743,8.3280
879.9817,8.3420
879.9873,8.3550
879.9925,8.3370
879.9981,8.3410
880.0032,8.3420
880.0081,8.3260
880.0137,8.3430
880.0190,8.3520
880.0241,8.3560
880.0294,8.3470
880.0338,8.3410
880.0425,8.3320
880.0481,8.3370
880.0527,8.3450
880.0588,8.3420
880.0635,8.3400
880.0684,8.3350
880.0730,8.3330
880.0779,8.3410
880.0837,8.3400
880.0888,8.3260
880.1081,8.3330
880.1163,8.3340
881.0567,8.1720
881.0615,8.2000
881.0663,8.1780
881.0710,8.1870
881.0755,8.1810
881.0868,8.1750
881.0922,8.1830
881.0966,8.1870
881.1017,8.1650
881.1066,8.1660
881.1113,8.1710
881.1156,8.1850
881.1207,8.1820
881.1251,8.1760
881.1291,8.1800
881.1333,8.1810
881.1376,8.1780
881.1420,8.1770
881.1466,8.1580
881.1539,8.1720
906.0478,8.3580
906.0520,8.3610
906.0589,8.3530
906.0636,8.3550
906.0687,8.3530
906.0735,8.3560
906.0787,8.3660
906.0830,8.3620
906.0880,8.3550
906.0940,8.3600
882.0086,8.2860
882.0138,8.2810
882.0201,8.2960
882.0254,8.2890
882.0335,8.2970
882.0395,8.2850
882.0460,8.3020
882.0523,8.2960
882.0585,8.2960
882.0723,8.2860
882.0774,8.2960
882.0819,8.2940
882.1009,8.2890
882.1051,8.3040
882.1091,8.3010
882.1135,8.2980
882.1178,8.2930
882.1222,8.3020
882.1269,8.2870
882.1317,8.2890
906.9934,8.1610
907.0000,8.1630
907.0044,8.1540
907.0091,8.1500
907.0137,8.1490
907.0182,8.1500
907.0279,8.1500
907.0335,8.1610
907.0381,8.1540
907.0426,8.1520
905.2198,8.2330
905.2250,8.2510
905.2295,8.2240
905.2341,8.2270
905.2387,8.2440
905.2435,8.2460
905.9574,8.3570
905.9627,8.3650
905.9783,8.3720
905.9830,8.3690
905.9889,8.3670
905.9957,8.3530
906.0025,8.3650
906.0068,8.3760
906.0137,8.3640
906.0181,8.3670
906.0225,8.3650
906.0266,8.3640
906.0358,8.3600
906.0399,8.3560
912.0922,7.9450
912.1019,7.9430
912.1066,7.9450
912.1116,7.9520
912.1165,7.9530
912.1216,7.9520
912.1334,7.9550
912.1385,7.9640
912.1435,7.9640
912.1484,7.9690
878.1601,8.0670
878.1666,8.0640
878.1729,8.0630
878.1795,8.0650
878.1845,8.0550
878.1899,8.0550
878.1955,8.0520
878.2013,8.0480
878.2066,8.0440
878.2121,8.0320
880.1723,8.3250
880.1778,8.3300
880.1843,8.3250
880.1908,8.3130
880.1955,8.3160
880.2007,8.3190
880.2053,8.3280
880.2105,8.3260
880.2160,8.3240
880.2208,8.3230
880.2255,8.3070
880.9653,8.2010
880.9707,8.1840
880.9773,8.1870
880.9834,8.1870
880.9898,8.2000
880.9946,8.1990
881.0001,8.1890
881.0073,8.1940
881.0132,8.1770
881.0182,8.1770
881.0236,8.1820
881.0288,8.1780
881.0339,8.1820
881.0522,8.1830
879.1389,8.1800
879.1444,8.1780
879.1505,8.1880
879.1563,8.1800
879.1621,8.1790
879.1713,8.1900
879.1771,8.1860
879.1831,8.1710
879.1890,8.1860
879.1942,8.1890
881.1584,8.1720
881.1627,8.1640
881.1674,8.1820
881.1721,8.1680
881.1768,8.1600
881.1813,8.1800
881.1869,8.1770
881.1920,8.1840
881.1965,8.1700
881.2008,8.1710
881.2053,8.1720
881.2093,8.1770
881.2138,8.1650
881.2184,8.1830
881.2228,8.1720
