HJD (-2440000),V [mag],V-B [mag]
665.3789,-0.473,0.245
675.3706,-0.548,0.275
676.3353,-0.479,0.254
677.3350,-0.618,0.325
682.3410,-0.609,0.306
684.3141,-0.531,0.286
689.3112,-0.529,0.277
707.2815,-0.540,0.281
709.2781,-0.493,0.252
710.2686,-0.542,0.292
711.2425,-0.643,0.330
714.2594,-0.621,0.316
716.2613,-0.575,0.293
717.2544,-0.511,0.265
718.2524,-0.581,0.299
728.2378,-0.503,0.267
729.2466,-0.643,0.329
733.2605,-0.520,0.289
734.2111,-0.573,0.298
735.2110,-0.498,0.258
736.2104,-0.556,0.289
737.2105,-0.643,0.327
738.2088,-0.442,0.234
740.2193,-0.628,0.313
741.2140,-0.504,0.259
742.2004,-0.569,0.296
746.1928,-0.467,0.252
873.6047,-0.510,0.266
875.5488,-0.526,0.269
896.5480,-0.453,0.239
1018.3519,-0.484,0.258
1053.2743,-0.620,0.317
1077.2591,-0.567,0.285
1079.1974,-0.607,0.302
1082.2279,-0.649,0.323
1090.1811,-0.586,0.286
1104.2119,-0.543,0.275
1106.2058,-0.473,0.249
1107.2115,-0.573,0.297
1108.1940,-0.633,0.321
1109.2189,-0.452,0.232
1112.2150,-0.529,0.272
1114.2096,-0.509,0.264
1116.1897,-0.540,0.259
1120.2136,-0.526,0.271
1122.1811,-0.541,0.277
1123.1855,-0.603,0.310
1124.1859,-0.469,0.241
