date [HJD],V [mag],V-B [mag],source,note
2443875.9785,8.067,,Barrell,Johnson V
2443875.9839,8.061,,Barrell,Johnson V
2443876.011,8.077,,Barrell,Johnson V
2443876.0229,8.081,,Barrell,Johnson V
2443876.9783,8.412,,Barrell,Johnson V
2443876.9902,8.399,,Barrell,Johnson V
2443877.9772,8.181,,Barrell,Johnson V
2443877.9867,8.181,,Barrell,Johnson V
2443877.9941,8.171,,Barrell,Johnson V
2443878.0006,8.156,,Barrell,Johnson V
2443878.0069,8.148,,Barrell,Johnson V
2443878.0125,8.145,,Barrell,Johnson V
2443878.0227,8.136,,Barrell,Johnson V
2443878.0374,8.147,,Barrell,Johnson V
2443878.0462,8.149,,Barrell,Johnson V
2443878.0532,8.14,,Barrell,Johnson V
2443878.0591,8.131,,Barrell,Johnson V
2443878.0661,8.12,,Barrell,Johnson V
2443878.0717,8.125,,Barrell,Johnson V
2443878.0776,8.121,,Barrell,Johnson V
2443878.0832,8.108,,Barrell,Johnson V
2443878.0895,8.105,,Barrell,Johnson V
2443878.0947,8.1,,Barrell,Johnson V
2443878.1008,8.095,,Barrell,Johnson V
2443878.1072,8.097,,Barrell,Johnson V
2443878.1133,8.084,,Barrell,Johnson V
2443878.1368,8.877,,Barrell,Johnson V
2443878.1424,8.059,,Barrell,Johnson V
2443878.1482,8.068,,Barrell,Johnson V
2443878.154,8.059,,Barrell,Johnson V
2443878.2174,8.024,,Barrell,Johnson V
2443878.2228,8.037,,Barrell,Johnson V
2443878.9662,8.119,,Barrell,Johnson V
2443878.9738,8.114,,Barrell,Johnson V
2443878.9808,8.119,,Barrell,Johnson V
2443878.9863,8.125,,Barrell,Johnson V
2443878.9963,8.114,,Barrell,Johnson V
2443879.0026,8.123,,Barrell,Johnson V
2443879.009,8.116,,Barrell,Johnson V
2443879.0145,8.133,,Barrell,Johnson V
2443879.0204,8.133,,Barrell,Johnson V
2443879.0261,8.133,,Barrell,Johnson V
2443879.0393,8.133,,Barrell,Johnson V
