radius ADU
0 1000
1 -9999
2 -9999
3 -9999
4 -9999
5 725
6 725
7 -9999
8 725
9 725
10 -9999
11 -9999
12 -9999
13 725
14 725
15 720
16 725
17 562
18 437
19 323
20 305
21 -9999
22 207
23 146
24 130
25 110
26 83
27 73
28 63
29 62
30 49
31 35
32 -9999
33 33
34 31
35 25
36 23
37 20
38 20
39 16
40 13
41 12
42 13
43 11
44 10
45 8
46 10
47 8
48 7
49 6
50 6
51 5
52 6
53 5
54 4
55 4
56 4
57 4
58 3
59 3
60 3
61 2
62 1
63 2
64 1
65 2
66 2
67 2
68 1
69 0
70 0
71 0
72 0
73 1
74 1
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 1
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
